Date,s_eu,s_ch,kof_baro,kof_mpc,1J,2J,3J,4J,5J,6J,7J,8J,9J,10J,15J,20J,30J
2013-06-20,88.3,98.8584498786638,100.874309692626,-0.23809524,0.0007000000000000001,-0.00013000000000000002,0.00024,0.00153,0.00315,0.0047799999999999995,0.00624,0.0075,0.00857,0.009470000000000001,0.01229,0.01374,0.01518
2013-06-21,88.3,98.8584498786638,100.874309692626,-0.23809524,0.00091,0.00023,0.0007000000000000001,0.00203,0.00365,0.00526,0.0067,0.00795,0.009000000000000001,0.00988,0.01267,0.0141,0.015530000000000002
2013-06-24,88.3,98.8584498786638,100.874309692626,-0.23809524,0.0008199999999999999,0.00035000000000000005,0.00107,0.0025800000000000003,0.00431,0.00597,0.00743,0.00868,0.009729999999999999,0.01061,0.01337,0.014780000000000001,0.01619
2013-06-25,88.3,98.8584498786638,100.874309692626,-0.23809524,0.0009300000000000002,0.0004,0.00116,0.0027899999999999995,0.00466,0.00643,0.00797,0.00927,0.01035,0.01125,0.01403,0.01544,0.01685
2013-06-26,88.3,98.8584498786638,100.874309692626,-0.23809524,0.00091,0.00026000000000000003,0.0010099999999999998,0.00266,0.00456,0.00634,0.00788,0.009170000000000001,0.01024,0.011120000000000001,0.01385,0.01523,0.01662
2013-06-27,88.3,98.8584498786638,100.874309692626,-0.23809524,0.00075,-0.0001,0.0006,0.00227,0.0042,0.00602,0.00759,0.00891,0.00999,0.01089,0.013680000000000001,0.015090000000000001,0.0165
2013-06-28,88.3,98.8584498786638,100.874309692626,-0.23809524,0.00073,-6e-05,0.00062,0.00222,0.004070000000000001,0.0058200000000000005,0.00735,0.008640000000000002,0.00971,0.0106,0.013380000000000001,0.0148,0.01621
2013-07-01,89.5,100.811001911552,105.945829430887,-0.26666668,0.00072,-1e-05,0.0007099999999999999,0.00233,0.00421,0.00597,0.007509999999999999,0.00879,0.00986,0.01075,0.01349,0.014880000000000003,0.016269999999999996
2013-07-02,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007599999999999999,-0.00014,0.0005200000000000001,0.00218,0.00411,0.005920000000000001,0.0075,0.008809999999999998,0.009890000000000001,0.010780000000000001,0.01355,0.01494,0.01634
2013-07-03,89.5,100.811001911552,105.945829430887,-0.26666668,0.00072,-0.00023,0.00036,0.0019399999999999999,0.0038,0.005579999999999999,0.0071200000000000005,0.00842,0.00951,0.0104,0.01319,0.014609999999999998,0.01602
2013-07-04,89.5,100.811001911552,105.945829430887,-0.26666668,0.00072,-0.00029,0.00033,0.00196,0.00386,0.005660000000000001,0.0072299999999999994,0.00855,0.009649999999999999,0.01057,0.013419999999999998,0.01486,0.01631
2013-07-05,89.5,100.811001911552,105.945829430887,-0.26666668,0.0006900000000000001,-0.00055,-3e-05,0.0016,0.0035399999999999997,0.005379999999999999,0.006979999999999999,0.008329999999999999,0.00945,0.01038,0.01325,0.014709999999999999,0.01617
2013-07-08,89.5,100.811001911552,105.945829430887,-0.26666668,0.00058,-0.00047,0.0002,0.0019500000000000001,0.00399,0.005920000000000001,0.00759,0.00899,0.01015,0.01111,0.01409,0.015590000000000001,0.0171
2013-07-09,89.5,100.811001911552,105.945829430887,-0.26666668,0.00077,-0.00034,0.00025,0.0019500000000000001,0.0039700000000000004,0.005889999999999999,0.007559999999999999,0.00897,0.010129999999999998,0.01109,0.01406,0.015560000000000001,0.01707
2013-07-10,89.5,100.811001911552,105.945829430887,-0.26666668,0.0008100000000000001,-0.00018999999999999998,0.00033,0.00191,0.0038299999999999996,0.00569,0.00735,0.008759999999999999,0.009940000000000001,0.01093,0.01403,0.015609999999999999,0.01719
2013-07-11,89.5,100.811001911552,105.945829430887,-0.26666668,0.00072,-0.00031,0.00031,0.00198,0.00396,0.00584,0.007490000000000001,0.00888,0.01004,0.011000000000000001,0.01399,0.01551,0.01703
2013-07-12,89.5,100.811001911552,105.945829430887,-0.26666668,0.00075,-0.00034,0.00016,0.0017399999999999998,0.00366,0.005520000000000001,0.00715,0.00853,0.00969,0.01065,0.013640000000000001,0.01516,0.01668
2013-07-15,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007400000000000001,-0.00029,0.00025,0.00185,0.00377,0.00561,0.0072299999999999994,0.00859,0.00972,0.010659999999999998,0.01357,0.01505,0.01653
2013-07-16,89.5,100.811001911552,105.945829430887,-0.26666668,0.00078,-0.00017,0.00037999999999999997,0.00196,0.00386,0.00569,0.0073,0.00866,0.00979,0.01072,0.013640000000000001,0.015109999999999998,0.01659
2013-07-17,89.5,100.811001911552,105.945829430887,-0.26666668,0.00073,-8e-05,0.00058,0.0022,0.00409,0.005889999999999999,0.00746,0.00878,0.00988,0.0108,0.01365,0.0151,0.016540000000000003
2013-07-18,89.5,100.811001911552,105.945829430887,-0.26666668,0.00065,-0.00035000000000000005,0.00024,0.00185,0.00377,0.005600000000000001,0.007190000000000001,0.00854,0.00966,0.010590000000000002,0.01348,0.01494,0.01641
2013-07-19,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007400000000000001,-0.0002,0.00026000000000000003,0.00172,0.0035399999999999997,0.0053100000000000005,0.00689,0.00824,0.00936,0.0103,0.013230000000000002,0.01472,0.01621
2013-07-22,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007099999999999999,-0.0003,0.00021,0.0017399999999999998,0.0036,0.005390000000000001,0.0069700000000000005,0.0083,0.00941,0.010329999999999999,0.0132,0.01466,0.01612
2013-07-23,89.5,100.811001911552,105.945829430887,-0.26666668,0.00066,-0.00027000000000000006,0.0003,0.00184,0.00369,0.0054600000000000004,0.00701,0.008329999999999999,0.009420000000000001,0.01034,0.01318,0.01462,0.01607
2013-07-24,89.5,100.811001911552,105.945829430887,-0.26666668,0.00068,-0.0002,0.00042,0.0020399999999999997,0.00395,0.00576,0.00735,0.00868,0.00979,0.010709999999999999,0.01356,0.015009999999999999,0.01646
2013-07-25,89.5,100.811001911552,105.945829430887,-0.26666668,0.00079,-4e-05,0.0005,0.0020499999999999997,0.00395,0.005809999999999999,0.00747,0.00889,0.01007,0.011059999999999999,0.014150000000000001,0.015719999999999998,0.01729
2013-07-26,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007000000000000001,-0.00029,0.0003,0.0019500000000000001,0.00391,0.00579,0.007440000000000001,0.00883,0.00998,0.01094,0.01391,0.015419999999999998,0.01693
2013-07-29,89.5,100.811001911552,105.945829430887,-0.26666668,0.00073,-0.00028,0.0003,0.00192,0.00386,0.00573,0.00737,0.00877,0.00993,0.0109,0.013940000000000001,0.01548,0.01702
2013-07-30,89.5,100.811001911552,105.945829430887,-0.26666668,0.0006900000000000001,-0.00033,0.0002,0.0018,0.00375,0.00563,0.007290000000000001,0.00868,0.00985,0.01081,0.0138,0.015319999999999999,0.01684
2013-07-31,89.5,100.811001911552,105.945829430887,-0.26666668,0.0007599999999999999,-0.00013000000000000002,0.00046,0.00207,0.004,0.00586,0.007490000000000001,0.00887,0.01002,0.01097,0.01393,0.015430000000000001,0.01693
2013-08-02,91.6,101.128650093525,103.17358372376,-0.3888889,0.00077,1e-05,0.00065,0.0022500000000000003,0.00414,0.00597,0.00758,0.00894,0.010090000000000002,0.011040000000000001,0.01402,0.015530000000000002,0.01705
2013-08-05,91.6,101.128650093525,103.17358372376,-0.3888889,0.00079,-6e-05,0.0005400000000000001,0.0021,0.00396,0.00576,0.00735,0.0087,0.00983,0.010780000000000001,0.01375,0.015260000000000001,0.016780000000000003
2013-08-06,91.6,101.128650093525,103.17358372376,-0.3888889,0.0008100000000000001,8e-05,0.00072,0.00233,0.00424,0.0060799999999999995,0.0077,0.00907,0.010209999999999999,0.011159999999999998,0.01413,0.01563,0.01714
2013-08-07,91.6,101.128650093525,103.17358372376,-0.3888889,0.0008199999999999999,5e-05,0.00059,0.00209,0.00392,0.00572,0.00732,0.008690000000000002,0.00985,0.010820000000000001,0.01385,0.0154,0.01695
2013-08-08,91.6,101.128650093525,103.17358372376,-0.3888889,0.00084,6e-05,0.00049,0.00188,0.00363,0.0054,0.0069900000000000006,0.00838,0.00955,0.01053,0.01365,0.01524,0.01683
2013-08-09,91.6,101.128650093525,103.17358372376,-0.3888889,0.0011,0.00028,0.00061,0.0019,0.00359,0.00532,0.0069099999999999995,0.00831,0.0095,0.010509999999999999,0.013730000000000003,0.015390000000000001,0.01705
2013-08-12,91.6,101.128650093525,103.17358372376,-0.3888889,0.0015,0.00014,0.0005099999999999999,0.00193,0.00369,0.005429999999999999,0.006999999999999999,0.00836,0.00953,0.01052,0.01369,0.015330000000000002,0.01697
2013-08-13,91.6,101.128650093525,103.17358372376,-0.3888889,0.00103,0.00011000000000000002,0.00045,0.00179,0.0035200000000000006,0.00527,0.00687,0.00825,0.00943,0.01042,0.01357,0.01518,0.0168
2013-08-14,91.6,101.128650093525,103.17358372376,-0.3888889,0.00117,0.00047,0.0008900000000000001,0.00224,0.00399,0.00576,0.00737,0.00877,0.00996,0.01096,0.014140000000000002,0.01576,0.017390000000000003
2013-08-15,91.6,101.128650093525,103.17358372376,-0.3888889,0.00117,0.00039,0.0007099999999999999,0.0020199999999999997,0.00375,0.005529999999999999,0.007170000000000001,0.00859,0.00981,0.01084,0.01409,0.01575,0.01742
2013-08-16,91.6,101.128650093525,103.17358372376,-0.3888889,0.00111,0.00033,0.0008199999999999999,0.00227,0.004079999999999999,0.00588,0.007509999999999999,0.00892,0.01012,0.01113,0.014340000000000002,0.01598,0.01763
2013-08-19,91.6,101.128650093525,103.17358372376,-0.3888889,0.00115,0.00047,0.00091,0.00232,0.00412,0.0059299999999999995,0.00758,0.00902,0.01024,0.01127,0.014509999999999999,0.01617,0.017830000000000002
2013-08-20,91.6,101.128650093525,103.17358372376,-0.3888889,0.00116,0.00032,0.0007000000000000001,0.0021100000000000003,0.00392,0.00576,0.00743,0.00888,0.01012,0.011159999999999998,0.014459999999999999,0.016159999999999997,0.017849999999999998
2013-08-21,91.6,101.128650093525,103.17358372376,-0.3888889,0.00111,0.00027000000000000006,0.00073,0.00218,0.0040100000000000005,0.005829999999999999,0.00748,0.0089,0.01011,0.011120000000000001,0.01433,0.015969999999999998,0.017619999999999997
2013-08-22,91.6,101.128650093525,103.17358372376,-0.3888889,0.00112,0.00035000000000000005,0.0008900000000000001,0.00243,0.00433,0.00621,0.00788,0.00932,0.01053,0.01155,0.01474,0.01637,0.018000000000000002
2013-08-23,91.6,101.128650093525,103.17358372376,-0.3888889,0.00118,0.00047,0.00106,0.00265,0.0045899999999999995,0.0064800000000000005,0.00817,0.0096,0.0108,0.011810000000000001,0.01494,0.01653,0.018119999999999997
2013-08-26,91.6,101.128650093525,103.17358372376,-0.3888889,0.00107,0.00040999999999999994,0.00114,0.0028399999999999996,0.00486,0.006790000000000001,0.008490000000000001,0.00992,0.011120000000000001,0.012119999999999999,0.015219999999999997,0.01679,0.01837
2013-08-27,91.6,101.128650093525,103.17358372376,-0.3888889,0.001,0.00014,0.0008199999999999999,0.00254,0.00456,0.00649,0.00818,0.0096,0.01077,0.01175,0.014780000000000001,0.016319999999999998,0.01786
2013-08-28,91.6,101.128650093525,103.17358372376,-0.3888889,0.0010800000000000002,0.0003,0.0008900000000000001,0.00247,0.00441,0.00631,0.00799,0.00943,0.010629999999999999,0.01163,0.014769999999999998,0.01637,0.01797
2013-08-29,91.6,101.128650093525,103.17358372376,-0.3888889,0.0010400000000000001,0.00023,0.0009300000000000002,0.00264,0.0046500000000000005,0.006559999999999999,0.00824,0.00966,0.01084,0.011819999999999999,0.01486,0.016399999999999998,0.01795
2013-08-30,91.6,101.128650093525,103.17358372376,-0.3888889,0.00096,-8e-05,0.0005,0.00218,0.0042,0.00614,0.007829999999999998,0.00926,0.01044,0.011420000000000001,0.014469999999999998,0.01601,0.01755
2013-09-02,94.5,102.714622627884,105.491717932086,-0.25,0.00098,0.00012,0.0008,0.00252,0.00454,0.00647,0.00815,0.009559999999999999,0.010740000000000001,0.01171,0.01472,0.01624,0.017769999999999998
2013-09-03,94.5,102.714622627884,105.491717932086,-0.25,0.00099,7e-05,0.00064,0.00226,0.004220000000000001,0.00611,0.0077800000000000005,0.00919,0.010369999999999999,0.01135,0.01439,0.01594,0.017480000000000002
2013-09-04,94.5,102.714622627884,105.491717932086,-0.25,0.0010400000000000001,0.00011000000000000002,0.00079,0.00255,0.0046,0.006559999999999999,0.00826,0.00968,0.010859999999999998,0.011840000000000002,0.014880000000000003,0.01641,0.01795
2013-09-05,94.5,102.714622627884,105.491717932086,-0.25,0.00103,0.00021,0.00095,0.00272,0.00477,0.00672,0.00842,0.00985,0.01103,0.012009999999999998,0.01506,0.0166,0.01815
